skill_type, Skill, Start, End
Programming Languages and Tools, R, 2011-01-08, 2017-01-01
Programming Languages and Tools, R, 2011-01-08, 2017-01-01
Programming Languages and Tools, Python, 2014-06-01, 2015-01-01
Programming Languages and Tools, Python, 2015-08-01, 2017-01-01
Programming Languages and Tools, MATLAB/Octave, 2007-01-01, 2014-01-01
Programming Languages and Tools, MATLAB/Octave, 2015-04-01, 2015-08-01
Programming Languages and Tools, MATLAB/Octave, 2015-04-01, 2015-08-01
Data Tools, "BI Tools (Tableau, Looker)", 2015-05-01, 2015-07-01
Data Tools, "BI Tools (Tableau, Looker)", 2016-03-01, 2017-01-01
Data Tools, SQL, 2014-06-01, 2015-01-01
Data Tools, SQL, 2015-08-01, 2017-01-01
Programming Languages and Tools, "C/C++", 2008-08-01, 2009-01-01
Programming Languages and Tools, "C/C++", 2013-09-01, 2014-01-01
Programming Languages and Tools, "Jupyter Notebook", 2016-01-01, 2017-01-01
Programming Languages and Tools, "Git (Bitbucket, GitHub)", 2015-06-01, 2015-08-01
Programming Languages and Tools, "Git (Bitbucket, GitHub)", 2015-10-01, 2016-03-01
Programming Languages and Tools, "Git (Bitbucket, GitHub)", 2016-06-01, 2017-01-01
Operating Systems, Linux, 2013-01-01,2017-01-01
Operating Systems, Mac, 2015-07-01,2017-01-01
Operating Systems, Windows, 2007-01-01,2017-01-01
