skill_type, Skill, Start, End
Dev, R, 2011-01-08, 2017-01-01
Dev, R, 2017-11-01, 2018-08-01
Dev, Python, 2014-06-01, 2015-01-01
Dev, Python, 2015-08-01, NA
Dev, MATLAB/Octave, 2007-01-01, 2014-01-01
Dev, MATLAB/Octave, 2015-04-01, 2015-08-01
#Dev, "C/C++", 2008-08-01, 2009-01-01
#Dev, "C/C++", 2013-09-01, 2014-01-01
Viz, "Tableau/Looker/Spotfire", 2016-04-01, 2017-03-01
Viz, "Shiny, ggplot2", 2016-02-01, 2016-04-15
Viz, "Shiny, ggplot2", 2017-11-01, 2018-08-01
Data, SQLite, 2014-06-01, 2015-01-01
Data, DB2, 2015-08-01, 2016-04-15
Data, Terradata, 2015-08-01, 2016-04-15
Data, MySQL, 2016-06-01, 2017-01-01
Data, MySQL, 2017-04-01, NA
Data, Redshift, 2016-08-01, NA
Data, Athena, 2017-04-10, 2017-08-10
Data, S3, 2017-04-10, NA
Data, S3, 2016-08-01, 2016-11-01
#OS, Linux, 2013-01-01, NA
#OS, Mac, 2015-07-01, NA
#OS, Windows, 2007-01-01,2017-01-01
Dev, "Jupyter Notebook", 2016-01-01, 2017-11-01
Dev, "H2O", 2017-03-01, 2017-04-01
Dev, "H2O", 2017-11-01, NA
Ops, "Git", 2015-06-01, NA
Ops, "Git", 2015-10-01, 2016-03-01
Ops, "Git", 2016-06-01, NA
Ops, "JIRA, Confluence", 2015-10-01, NA
Ops, "EC2", 2017-05-01, NA
Ops, "Docker", 2017-08-01, NA
Ops, "Jenkins", 2017-08-01, NA
